inpNum,repNum,Vf_IQR,Vf_Mdn,nFC,nMRC,FCp,MRCp,av_FCa,av_MRCa,max_FC,max_MRC,Stiffness,Strength
2,44,0.196198689838809,0.705021759559241,0.0175438596491228,0.0526315789473684,0.339960260038172,0.275921058184791,517.231168302632,139.932994195844,901.436400145249,473.693495292014,16247.23229102,58.4900362476718
3,11,0.194334601794175,0.712411403856038,0.0103092783505155,0.0206185567010309,0.492670905081492,0.234067772040991,1221.76419742874,290.229868155388,1221.76419742874,406.515064660053,17365.2366010011,56.2633665872436
4,48,0.128348628175489,0.748821579322202,0.00819672131147541,0.0245901639344262,0.66308997238287,0.0486911886368731,1956.54033593795,47.8900694931129,1956.54033593795,64.2727666308287,19322.4048872342,64.9232804211069
5,11,0.270603552390852,0.606552919639113,0.012987012987013,0.038961038961039,0.050368070956453,0.511141212172733,129.566847200085,438.286624030191,129.566847200085,870.551219187949,13542.0153648581,51.9644840305569
6,36,0.170983202112461,0.704576443855967,0.025,0.0416666666666667,0.414475930166546,0.204218743895602,415.615827033566,122.868233297632,911.810360486716,216.21973086615,17073.1330122085,53.2681749980904
8,10,0.169995871277768,0.687083552987188,0.0526315789473684,0.0421052631578947,0.169229288147349,0.186148266739937,83.3598904608813,114.617417106112,149.348940520869,204.412452412087,15643.944575323,52.5636537730854
9,16,0.213304686911626,0.679695154564733,0.0210526315789474,0.0315789473684211,0.223331806578733,0.326295732415608,282.030446323842,274.704358674489,359.750763868704,451.390690367526,15570.7429580636,59.7916529589642
10,22,0.281135174282567,0.60148808723791,0.0210526315789474,0.0315789473684211,0.0495228178802536,0.50112823332963,85.7186188382912,578.26569462393,108.099943250301,1533.69237074044,12591.527455381,54.3953986072457
11,49,0.192793809295103,0.686415235746604,0.0396039603960396,0.0099009900990099,0.379176586443488,0.245171407346155,247.349222782392,639.73313990024,462.112803117953,639.73313990024,16515.4438502545,55.4918913368551
15,40,0.221185517044861,0.693778406231669,0.0625,0.0208333333333333,0.283544183196068,0.338749889593601,122.287364455546,438.289695183384,423.586332725563,547.854610352214,15751.055363064,54.8136726634626
16,26,0.195032626912864,0.64660281344133,0.0266666666666667,0.0133333333333333,0.100816353650544,0.25809481954257,102.721316485944,525.943236025214,145.825529108888,525.943236025214,14822.3615410396,53.3605015477425
19,35,0.184925801214289,0.695966133005589,0.0416666666666667,0.025,0.284208727937064,0.189055104410671,183.842652495229,203.819637037542,316.529027910548,401.757485729613,17015.2101874609,59.2129314523639
20,24,0.28573182445658,0.57547956744902,0.0136986301369863,0.0273972602739726,0.0241089200871184,0.485401108655175,59.9496118315723,603.502934626273,59.9496118315723,963.88344888165,12543.3360816266,58.7028128620123
23,16,0.16533790859911,0.748239051572217,0.0252100840336134,0.0336134453781513,0.534867779253465,0.150566037282998,542.652458762636,114.568076691502,1032.30664148871,180.285744553266,18505.8423169719,62.1796301850254
24,49,0.235834627366368,0.567264742673911,0.025974025974026,0.038961038961039,0.039752322882806,0.51966368259241,57.130128202738,497.89044858814,64.5056667491568,844.624464472632,13025.8865943906,53.1456173051138
25,11,0.283303071217997,0.600155118477469,0.0412371134020619,0.0412371134020619,0.0949993145306178,0.52971670294357,86.3600716696594,481.544236996347,150.828484973848,1697.97252378593,12809.8037719033,44.5781171262236
30,31,0.187518473553336,0.714068092374255,0.0105263157894737,0.0421052631578947,0.361286448057522,0.274446239333723,878.013486272307,166.742691766673,878.013486272307,501.463482923056,16375.762050208,60.9178348267737
31,45,0.275194419370755,0.490352707644734,0,0.0142857142857143,0,0.568073123972299,0,1459.99813124853,0,1459.99813124853,11445.8487482158,57.6870776910076
34,7,0.135784958634074,0.69756110009088,0.0206185567010309,0.0412371134020619,0.517105641163384,0.17348138139238,639.270103094162,107.232886028973,1006.40623479061,177.353134053659,17581.4998954121,59.0738396485847
35,22,0.156186765161105,0.754917669571321,0.0166666666666667,0.0166666666666667,0.610031875789703,0.0737989336434396,879.506708651677,106.39879620507,1666.7156167252,144.698611589872,19005.6997006554,66.1398349582806
36,10,0.185072735105232,0.711193502463275,0.0208333333333333,0.03125,0.583726594468834,0.19137483286048,701.125485921518,153.242715515414,1338.29669261413,330.590192500367,16447.5804923916,51.3164511362617
38,15,0.236634173565663,0.635419617457162,0.0106382978723404,0.0319148936170213,0.169717264411897,0.477747733711146,504.523338633165,473.404758342465,504.523338633165,846.870873466868,14141.1922218753,54.3021781320011
41,17,0.180942518415815,0.70496688144156,0.0173913043478261,0.0260869565217391,0.4011227797198,0.230861044136397,606.779290976219,232.815998421506,705.893407351559,633.06209778555,16697.1941800537,60.1098990481935
46,43,0.214610891827563,0.65931998542966,0.0341880341880342,0.0256410256410256,0.0838021975138651,0.3571979750812,67.9014412587225,385.896918255202,100.856092564235,596.437899617737,15275.4981462313,49.4926139937893
47,15,0.256547889769931,0.528354092541935,0,0.0125,0,0.622796713965838,0,1802.15270778626,0,1802.15270778626,12396.5288875801,55.0405882608556
48,30,0.239312972769271,0.627025850307875,0.0128205128205128,0.0384615384615385,0.151384986901082,0.520248084313818,360.445303069078,412.900870071374,360.445303069078,770.107911642144,14197.9244033181,54.5200297087415
51,41,0.163334754958945,0.738727813830973,0.00840336134453781,0.0252100840336134,0.687705620162758,0.130280063633698,1989.21926376025,125.613636933164,1989.21926376025,286.729482386482,17985.1810525754,58.2719866103444
53,46,0.158169412150783,0.739275114932641,0.00869565217391304,0.0260869565217391,0.497223080408231,0.098067314854155,1403.43329398647,92.2663891662587,1403.43329398647,124.34793786879,18384.8389013364,59.5668780403298
55,32,0.210573105133749,0.685179546682502,0.0303030303030303,0.0101010101010101,0.169472935432418,0.374642699715352,150.111192767865,995.522896429755,237.029284057465,995.522896429755,15802.3839538295,54.9922961593265
59,6,0.263348834064593,0.628600245768052,0.0404040404040404,0.0202020202020202,0.153791468993427,0.492078001665107,126.563000338543,809.913172673998,361.426232724353,1441.44622294984,13425.448529652,54.7758300009799
60,13,0.177155929291731,0.703988742513042,0.0333333333333333,0.05,0.341893575872325,0.245170960798069,273.009953863853,130.516467540049,422.549232275631,433.425662701458,17343.9846902197,60.3570667219645
61,27,0.23689286470657,0.672445496453845,0.0206185567010309,0.0309278350515464,0.177435115110382,0.465195903657582,242.503674587474,423.860917533428,441.474930639952,898.656802693629,14743.7549041869,54.8467682435754
62,24,0.267791527350826,0.611317548239653,0.0103092783505155,0.0412371134020619,0.0751688746192024,0.506818574335422,258.150790725139,435.138933440457,258.150790725139,1255.77834624684,12954.5267669295,43.527209936883
66,1,0.254386849235825,0.660935526807703,0.0210526315789474,0.0315789473684211,0.137449424142024,0.406911975485205,193.717064995772,382.326294900425,212.249207364165,532.019190491125,14458.6529276366,52.0154024809132
69,24,0.185172515619384,0.709373027641854,0.0333333333333333,0.0333333333333333,0.446464443987377,0.221468011130557,360.354985872876,178.753544872438,874.585527999079,514.930536544474,16765.5024370831,58.3439484810491
70,31,0.162714632419843,0.698131574536524,0.0297029702970297,0.0594059405940594,0.293430243061826,0.160019231131587,259.644246191478,70.7971888135377,476.77983449789,125.656439934607,17061.1083088427,63.4673229088947
76,11,0.17973778406692,0.697172845935234,0.0202020202020202,0.0505050505050505,0.365329849735964,0.233666521291165,453.061169706139,115.911938248519,835.418637924552,354.88586498383,17187.6737725749,53.6255421704337
78,23,0.249893623185801,0.513644295215972,0,0.0266666666666667,0,0.526121777594649,0,747.431234373498,0,1193.84044382943,12359.114843375,56.3575636857899
79,30,0.255070153298416,0.632280470093486,0.0217391304347826,0.0326086956521739,0.106478894876779,0.472404716628903,144.586235436891,427.647936924008,187.713602714212,1184.93955776085,14035.0134898563,57.2628550386135
80,23,0.166520494387206,0.719050347083619,0.01,0.01,0.610019996765743,0.0907335271721901,1526.82383654848,227.097657117982,1526.82383654848,227.097657117982,17988.4114339465,56.1238436739132
81,8,0.222361646276304,0.694643100875216,0.0103092783505155,0.0412371134020619,0.252941351408807,0.295829849852471,654.174582289492,191.273952813697,654.174582289492,418.925743443847,15666.2065383104,58.2782883225147
82,27,0.15125143550399,0.749486675631754,0.00833333333333333,0.00833333333333333,0.668927410500403,0.0808503230806597,1888.25208333337,228.224749948619,1888.25208333337,228.224749948619,19843.5477452435,66.6743204240183
83,12,0.175567584309003,0.698749196262054,0.0504201680672269,0.0336134453781513,0.262485611494978,0.181697203651767,127.108749874601,131.980402356238,210.144306219175,391.831507457902,17066.130322834,57.3107176568906
85,29,0.18752477785979,0.704397119175672,0.0297029702970297,0.0594059405940594,0.395780713615445,0.258918736094334,342.052925814421,111.885076991511,863.434111711607,396.474889307121,16726.0413385824,60.132968204211
86,8,0.144983368619743,0.726131510390458,0.00833333333333333,0.025,0.559915930459041,0.100904671430755,1667.32528909825,100.158435289096,1667.32528909825,131.070693911311,18274.6686875628,65.7888072752261
